Process / Review 통신 프로토콜 메시지 목록
작성일: 2026-07-17

01. HELLO_REQ | 양방향 | 최초 연결 시 상대 장비와 프로토콜 버전을 확인
02. HELLO_RSP | 양방향 | 연결 및 프로토콜 호환 여부 응답
03. HEARTBEAT | 양방향 | Process와 Review 프로그램의 연결 상태 확인
04. ACK | 양방향 | 메시지를 정상적으로 수신하고 처리했음을 응답
05. NACK | 양방향 | 메시지 수신 또는 처리 실패를 응답
06. ERROR_EVENT | 양방향 | 통신 및 처리 과정에서 발생한 오류 전달
07. STATUS_REQ | 양방향 | 상대 프로그램의 현재 상태 요청
08. STATUS_RSP | 양방향 | Idle, Ready, Running, Error 등의 상태 응답
09. RECIPE_INFO_DOWNLOAD_REQ | Process -> Review | 제품, 기판, 셀, 가공 조건 등의 Recipe 전달
10. RECIPE_INFO_DOWNLOAD_RSP | Review -> Process | Recipe 수신 및 유효성 검사 결과 응답
11. PROCESS_PLAN_DOWNLOAD_REQ | Process -> Review | 생성된 ST_PROCESS_PLAN 정보 전달
12. PROCESS_PLAN_DOWNLOAD_RSP | Review -> Process | Process Plan 수신 결과 응답
13. SCANNER_LAYOUT_SYNC_REQ | Process -> Review | 스캐너 개수, 배치 위치 및 가공 가능 X 영역 전달
14. SCANNER_LAYOUT_SYNC_RSP | Review -> Process | 스캐너 배치정보 적용 결과 응답
15. DOE_CONFIG_SYNC_REQ | Process -> Review | DOE 4x4 빔 위치와 선택 빔 정보 전달
16. DOE_CONFIG_SYNC_RSP | Review -> Process | DOE 설정 적용 결과 응답
17. CELL_TARGET_LIST_DOWNLOAD_REQ | Process -> Review | 셀 및 셀 내부 가공점 목록 전달
18. CELL_TARGET_LIST_DOWNLOAD_RSP | Review -> Process | 가공점 목록 수신 결과 응답
19. AK_MEASURE_REQ | Process -> Review | 기판 얼라인 마크 측정 요청
20. AK_MEASURE_STARTED | Review -> Process | 얼라인 측정 시작 통보
21. AK_MEASURE_RESULT | Review -> Process | AK 측정 좌표와 기판 보정값 전달
22. AK_MEASURE_FAIL | Review -> Process | 얼라인 마크 측정 실패 정보 전달
