ROW_TYPE,PRODUCT_ID,PANEL_ID,LOT_ID,PROCESS_ID,RECIPE_ID,STATE,RESULT,CREATED_AT,STARTED_AT,COMPLETED_AT,NAME,VALUE,HEAD_NO,HEAD_STATE,TOTAL_POINTS,COMPLETED_POINTS,HEAD_RESULT,ERROR_CODE,MESSAGE,HEAD_STARTED_AT,HEAD_COMPLETED_AT
PRODUCT,SIM-PRODUCT-001,SIM-PANEL-001,SIM-LOT-001,SCAN-20260723190005,DRILL_A01,CREATED,PENDING,2026-07-23T19:00:05.1627426+09:00,,,,,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,AK_MARGIN_X,55.000,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,AK_MARGIN_Y,45.000,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,ATTENUATOR_POSITION,23.50,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,CELL1_ALIGN_TO_1ST_PIXEL_X,60,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,CELL1_ALIGN_TO_1ST_PIXEL_Y,60,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,CELL1_CHESS,1,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,CELL1_HOLE1_OFFSET_X,0.1,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,CELL1_HOLE1_OFFSET_Y,0.1,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,CELL1_NUM_OF_PIXEL_X,5,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,CELL1_NUM_OF_PIXEL_Y,5,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,CELL1_PITCH_X,40,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,CELL1_PITCH_Y,40,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,CELL1_PIXEL_SIZE,10,,,,,,,,,
PARAM,SIM-PRODUCT-001,,,,,,,,,,CELL1_ROTATION,0,,,,,,,,,
